high,low,volume,close,open,time
233.8,208.88,90945252.0,233.72,223.0,1643000400
229.43,220.0,66435142.0,223.24,225.4,1643086800
240.57,223.0,74511958.0,227.72,232.24,1643173200
239.95,216.75,57208162.0,219.44,235.73,1643259600
228.58,212.96,54324641.0,228.4,220.01,1643346000
245.09,230.52,56426755.0,244.86,231.6,1643605200
251.45,238.9001,51842635.0,246.38,251.03,1643691600
258.17,245.5301,54321666.0,252.42,257.35,1643778000
250.77,237.8,40959649.0,239.48,244.16,1643864400
246.35,236.32,35427657.0,243.19,239.47,1643950800
251.82,242.02,37673148.0,247.28,243.72,1644210000
252.3,239.8,40992804.0,251.08,243.41,1644296400
267.25,253.53,51895924.0,267.05,256.17,1644382800
269.2499,256.0,50277520.0,258.24,259.96,1644469200
261.52,237.73,58658982.0,239.49,259.16,1644555600
248.75,237.55,42649680.0,242.67,239.49,1644814800
265.45,247.84,69525383.0,264.95,249.59,1644901200
265.82,255.52,72140106.0,265.11,262.12,1644987600
257.85,241.65,80377742.0,245.07,256.06,1645074000
249.86,231.0,75463776.0,236.42,247.0,1645160400
240.6399,230.0,61427874.0,233.9,230.28,1645506000
241.5499,223.04,55711884.0,223.87,237.87,1645592400
238.0,208.9,73143136.0,237.48,210.0,1645678800
242.17,233.81,51306524.0,241.57,237.32,1645765200
246.65,237.0701,46288489.0,243.85,239.97,1646024400
243.77,231.32,39773678.0,234.77,242.76,1646110800
244.09,234.15,37855435.0,242.2,237.51,1646197200
243.2599,234.69,35730898.0,237.14,242.63,1646283600
236.8,224.82,42142787.0,229.36,234.0,1646370000
230.33,213.3,43894120.0,213.52,228.38,1646629200
223.7299,206.5,54244423.0,215.14,213.0,1646715600
232.17,222.5,47692248.0,230.14,223.5,1646802000
227.88,218.82,42111397.0,226.58,225.78,1646888400
231.45,220.46,35963557.0,221.0,230.35,1646974800
222.62,211.5901,37534606.0,213.3,218.16,1647230400
230.38,213.2201,48481457.0,229.73,215.46,1647316800
245.97,231.72,65928512.0,244.96,235.1,1647403200
248.42,239.06,46622681.0,247.66,240.93,1647489600
265.6899,246.24,72886382.0,264.53,248.56,1647576000
271.5199,259.67,58552311.0,267.34,265.0,1647835200
272.38,260.72,54354640.0,265.24,267.34,1647921600
266.115,255.7501,49899764.0,256.34,261.26,1648008000
283.1999,259.07,87294857.0,281.5,261.47,1648094400
283.58,272.71,57847111.0,276.92,278.91,1648180800
282.5,272.06,42549892.0,282.19,277.34,1648440000
289.46,279.8,48899498.0,286.56,286.99,1648526400
284.955,275.03,46348713.0,276.9,283.14,1648612800
282.48,272.7,52262413.0,272.86,277.91,1648699200
274.96,262.67,51657901.0,267.12,273.69,1648785600
275.58,266.13,39761021.0,273.6,267.39,1649044800
273.19,258.2,43624036.0,259.31,272.51,1649131200
253.0,240.03,70330513.0,244.07,249.16,1649217600
247.22,234.78,55715458.0,242.08,244.29,1649304000
239.23,230.6201,52461607.0,231.19,239.23,1649390400
223.1994,216.6,57468320.0,219.17,221.93,1649649600
227.25,212.8204,66131309.0,215.04,225.0,1649736000
225.0,214.55,51643703.0,222.03,217.27,1649822400
227.77,211.63,56859218.0,212.58,225.0,1649908800
220.88,210.79,52499861.0,217.83,211.94,1650254400
223.73,213.14,51254438.0,221.98,217.13,1650340800
226.7037,212.0,46790173.0,214.82,225.02,1650427200
223.92,200.0,65556787.0,201.83,216.9,1650513600
204.86,195.0,62461154.0,195.15,203.14,1650600000
199.45,190.96,64028918.0,199.02,191.32,1650859200
197.88,186.7,65163861.0,187.88,197.14,1650945600
191.67,182.9,49842038.0,184.15,185.77,1651032000
200.37,184.8957,56908303.0,197.82,189.61,1651118400
201.2848,185.17,49978719.0,185.47,194.12,1651204800
195.74,183.91,57044366.0,195.33,185.33,1651464000
198.25,191.33,47478673.0,196.02,194.03,1651550400
204.0,187.51,64657994.0,203.34,199.0,1651636800
199.25,185.0,62492818.0,188.44,198.72,1651723200
195.12,179.9,63148701.0,186.75,187.06,1651809600
182.55,168.27,64255134.0,169.5,180.48,1652068800
181.98,170.25,75907882.0,175.95,176.78,1652155200
